year,C_extracted,C_extracted_SD,C_extracted_lowCI,C_extracted_lowIQR,C_extracted_median,C_extracted_highIQR,C_extracted_highCI,N_extracted,N_extracted_SD,N_extracted_lowCI,N_extracted_lowIQR,N_extracted_median,N_extracted_highIQR,N_extracted_highCI,P_extracted,P_extracted_SD,P_extracted_lowCI,P_extracted_lowIQR,P_extracted_median,P_extracted_highIQR,P_extracted_highCI,GloAv_C_extracted,GloAv_N_extracted,GloAv_P_extracted,C_dif,C_dif_SD,C_dif_lowCI,C_dif_highCI,C_dif_per,C_dif_per_SD,C_dif_per_lowCI,C_dif_per_highCI,N_dif,N_dif_SD,N_dif_lowCI,N_dif_highCI,N_dif_per,N_dif_per_SD,N_dif_per_lowCI,N_dif_per_highCI,P_dif,P_dif_SD,P_dif_lowCI,P_dif_highCI,P_dif_per,P_dif_per_SD,P_dif_per_lowCI,P_dif_per_highCI
2009,8065820.402,141834.8931,7803459.76,7976577.86,8050051.794,8146903.708,8362734.705,2057261.626,28083.1219,2001107.559,2038738.624,2058011.569,2076689.884,2109997.445,432970.8095,25247.01403,395315.777,418147.9938,427629.716,443374.5077,481318.8528,9212108.211,2063512.239,442181.1941,1146287.809,141834.8931,849373.5054,1408648.45,14.21167038,1.776137537,10.15664774,18.05158857,6250.613051,28083.1219,-46485.20544,62404.68027,0.303831704,1.365079247,-2.203092973,3.118507049,9210.384563,25247.01403,-39137.65866,46865.41707,2.127253007,5.832431477,-8.131337144,11.85518509
2010,7763713.924,80039.19025,7610662.277,7706245.774,7759027.769,7819830.007,7912527.45,1977953.106,16830.97309,1948166.921,1967276.344,1976520.133,1990470.095,2010712.415,408051.5904,11573.88497,390790.6474,400112.4429,406496.9712,413388.4308,435321.5502,8870392.635,1986967.95,425778.8465,1106678.711,80039.19025,957865.1853,1259730.358,14.25450141,1.041360658,12.10567914,16.55217787,9014.844414,16830.97309,-23744.46504,38801.02902,0.455766337,0.850937661,-1.180898116,1.991668609,17727.25605,11573.88497,-9542.703701,34988.1991,4.344366365,2.839053221,-2.192104594,8.953182306
2011,8280048.808,170876.326,7980908.574,8144003.644,8274186.851,8404682.397,8609191.095,2139001.454,27237.3061,2094700.224,2118404.03,2137669.061,2157144.757,2192862.658,445157.757,30096.11647,406894.4442,428498.8235,437923.8502,453916.279,523178.3473,9587388.744,2147575.079,460194.6597,1307339.936,170876.326,978197.6486,1606480.17,15.78903659,2.089276742,11.36224806,20.12903863,8573.624664,27237.3061,-45287.57979,52874.85444,0.400823695,1.273375707,-2.065226457,2.524220594,15036.9027,30096.11647,-62983.68756,53300.21545,3.377881765,6.764631428,-12.03866481,13.09927334
2012,7820967.769,102938.937,7638675.761,7762172.714,7817182.556,7870565.965,8067345.042,2005868.312,19290.39298,1972115.32,1993375.556,2005674.031,2016948.143,2042637.744,411665.6815,14494.03275,393233.4571,402395.1328,408765.1618,417191.0273,451374.3776,9002497.724,2016559.49,432119.8907,1181529.955,102938.937,935152.6819,1363821.962,15.10720911,1.331126649,11.59182701,17.85416746,10691.17782,19290.39298,-26078.25426,44444.17012,0.532995,0.961711537,-1.276695015,2.253629373,20454.20922,14494.03275,-19254.48683,38886.43366,4.968645708,3.525169429,-4.265746526,9.888892453
2013,7868386.359,125071.0073,7663088.908,7777430.023,7863609.367,7934101.243,8152482.297,2030666.532,23394.13671,1987161.663,2014524.484,2030203.76,2046716.716,2071270.631,418217.0408,19884.03729,390244.2836,404821.9123,415888.2631,428634.9321,467052.2944,9154779.291,2050670.561,439429.406,1286392.931,125071.0073,1002296.994,1491690.383,16.34887857,1.610641174,12.29437804,19.46591513,20004.0287,23394.13671,-20600.06975,63508.8984,0.985096685,1.152098161,-0.994561959,3.195960328,21212.36513,19884.03729,-27622.88839,49185.12238,5.072094882,4.760589813,-5.914303114,12.6036753
2014,7934702.39,64920.47906,7818475.777,7890665.482,7928283.586,7971550.344,8069881.264,2020530.049,12093.55897,1997143.318,2012482.647,2020565.117,2027617.038,2043774.879,412531.1681,9405.189732,395672.4511,406479.3226,411304.9669,417839.5936,432899.8067,9111570.776,2040991.854,437355.3972,1176868.386,64920.47906,1041689.512,1293094.999,14.8319159,0.827134658,12.90836232,16.53896534,20461.80517,12093.55897,-2783.025504,43848.53595,1.012694921,0.598564673,-0.136170844,2.19556281,24824.22913,9405.189732,4455.590539,41682.94615,6.01754026,2.283997802,1.029242903,10.53471022
2015,7993320.908,95218.34191,7825376.812,7935208.574,7981781.811,8047791.849,8195523.444,2029116.02,17563.13218,1998146.13,2017043.714,2026307.366,2039533.239,2066152.105,416515.5416,14402.15059,394127.5984,406801.7628,414030.4472,422846.0307,454502.3623,9222479.49,2065835.406,442679.0155,1229158.581,95218.34191,1026956.046,1397102.678,15.37732059,1.20522548,12.530695,17.85348759,36719.38593,17563.13218,-316.6993027,67689.27542,1.809624761,0.86569755,-0.015327976,3.387603859,26163.47392,14402.15059,-11823.34681,48551.41714,6.281512046,3.464585289,-2.601382916,12.31870525
2016,7747382.802,79821.22781,7612980.879,7689043.209,7748903.85,7800628.628,7904582.653,1960088.048,13682.11401,1933591.389,1951352.001,1958606.526,1966778.778,1988498.573,402843.3145,12256.85879,384672.1474,394030.2502,402269.2885,409775.4375,427647.5084,8875021.74,1988004.87,426001.0435,1127638.938,79821.22781,970439.0869,1262040.861,14.55509514,1.041155551,12.27691745,16.57748628,27916.82133,13682.11401,-493.7028028,54413.48064,1.424263637,0.698106479,-0.024827918,2.814114758,23157.72904,12256.85879,-1646.464897,41328.89613,5.748569782,3.047610245,-0.385005142,10.74392737
2017,7863377.897,89294.30985,7693870.958,7808518.608,7860566.894,7912565.615,8044331.291,1992553.604,16213.54606,1960345.277,1981869.078,1992201.589,2002042.539,2022999.35,412414.5901,13211.07755,392273.6424,401806.3409,410468.7883,419324.261,439506.0326,9075551.5,2032923.536,435626.472,1212173.603,89294.30985,1031220.209,1381680.542,15.41543111,1.148985292,12.81921607,17.9581975,40369.93208,16213.54606,9924.185942,72578.25872,2.026039952,0.813873884,0.490567925,3.702320176,23211.88194,13211.07755,-3879.560643,43352.82964,5.628288256,3.208418448,-0.882709304,11.0516805
2018,7909975.18,158509.4898,7625907.167,7798148.111,7900588.882,8024575.375,8200834.636,2022831.737,29696.9951,1976723.183,2002531.67,2022748.814,2037691.18,2087784.095,415885.9358,19437.88796,388325.4287,402526.5343,410459.3394,431383.3911,454318.1298,9153412.167,2050364.325,439363.784,1243436.987,158509.4898,952577.5309,1527505,15.71985953,2.028527646,11.61561686,20.03046938,27532.58846,29696.9951,-37419.7693,73641.14299,1.361091383,1.468226211,-1.792319876,3.725415053,23477.84823,19437.88796,-14954.34577,51038.35533,5.645261406,4.681292376,-3.291602248,13.14319165
