simp_functional_group,C_extracted,C_extracted_SD,C_extracted_lowCI,C_extracted_lowIQR,C_extracted_median,C_extracted_highIQR,C_extracted_highCI,C_extracted_1960_64,C_extracted_SD_1960_64,C_extracted_lowCI_1960_64,C_extracted_lowIQR_1960_64,C_extracted_median_1960_64,C_extracted_highIQR_1960_64,C_extracted_highCI_1960_64,C_extracted_1993_97,C_extracted_SD_1993_97,C_extracted_lowCI_1993_97,C_extracted_lowIQR_1993_97,C_extracted_median_1993_97,C_extracted_highIQR_1993_97,C_extracted_highCI_1993_97,C_extracted_2014_18,C_extracted_SD_2014_18,C_extracted_lowCI_2014_18,C_extracted_lowIQR_2014_18,C_extracted_median_2014_18,C_extracted_highIQR_2014_18,C_extracted_highCI_2014_18,N_extracted,N_extracted_SD,N_extracted_lowCI,N_extracted_lowIQR,N_extracted_median,N_extracted_highIQR,N_extracted_highCI,N_extracted_1960_64,N_extracted_SD_1960_64,N_extracted_lowCI_1960_64,N_extracted_lowIQR_1960_64,N_extracted_median_1960_64,N_extracted_highIQR_1960_64,N_extracted_highCI_1960_64,N_extracted_1993_97,N_extracted_SD_1993_97,N_extracted_lowCI_1993_97,N_extracted_lowIQR_1993_97,N_extracted_median_1993_97,N_extracted_highIQR_1993_97,N_extracted_highCI_1993_97,N_extracted_2014_18,N_extracted_SD_2014_18,N_extracted_lowCI_2014_18,N_extracted_lowIQR_2014_18,N_extracted_median_2014_18,N_extracted_highIQR_2014_18,N_extracted_highCI_2014_18,P_extracted,P_extracted_SD,P_extracted_lowCI,P_extracted_lowIQR,P_extracted_median,P_extracted_highIQR,P_extracted_highCI,P_extracted_1960_64,P_extracted_SD_1960_64,P_extracted_lowCI_1960_64,P_extracted_lowIQR_1960_64,P_extracted_median_1960_64,P_extracted_highIQR_1960_64,P_extracted_highCI_1960_64,P_extracted_1993_97,P_extracted_SD_1993_97,P_extracted_lowCI_1993_97,P_extracted_lowIQR_1993_97,P_extracted_median_1993_97,P_extracted_highIQR_1993_97,P_extracted_highCI_1993_97,P_extracted_2014_18,P_extracted_SD_2014_18,P_extracted_lowCI_2014_18,P_extracted_lowIQR_2014_18,P_extracted_median_2014_18,P_extracted_highIQR_2014_18,P_extracted_highCI_2014_18,GloAv_C_extracted,GloAv_N_extracted,GloAv_P_extracted,GloAv_C_1960_64,GloAv_N_1960_64,GloAv_P_1960_64,GloAv_C_1993_97,GloAv_N_1993_97,GloAv_P_1993_97,GloAv_C_2014_18,GloAv_N_2014_18,GloAv_P_2014_18,C_dif,C_dif_SD,C_dif_lowCI,C_dif_highCI,C_dif_per,C_dif_per_SD,C_dif_per_lowCI,C_dif_per_highCI,C_dif_1960_64,C_dif_1960_64_SD,C_dif_1960_64_lowCI,C_dif_1960_64_highCI,C_dif_1960_64_per,C_dif_1960_64_per_SD,C_dif_1960_64_per_lowCI,C_dif_1960_64_per_highCI,C_dif_1993_97,C_dif_1993_97_SD,C_dif_1993_97_lowCI,C_dif_1993_97_highCI,C_dif_1993_97_per,C_dif_1993_97_per_SD,C_dif_1993_97_per_lowCI,C_dif_1993_97_per_highCI,C_dif_2014_18,C_dif_2014_18_SD,C_dif_2014_18_lowCI,C_dif_2014_18_highCI,C_dif_2014_18_per,C_dif_2014_18_per_SD,C_dif_2014_18_per_lowCI,C_dif_2014_18_per_highCI,N_dif,N_dif_SD,N_dif_lowCI,N_dif_highCI,N_dif_per,N_dif_per_SD,N_dif_per_lowCI,N_dif_per_highCI,N_dif_1960_64,N_dif_1960_64_SD,N_dif_1960_64_lowCI,N_dif_1960_64_highCI,N_dif_1960_64_per,N_dif_1960_64_per_SD,N_dif_1960_64_per_lowCI,N_dif_1960_64_per_highCI,N_dif_1993_97,N_dif_1993_97_SD,N_dif_1993_97_lowCI,N_dif_1993_97_highCI,N_dif_1993_97_per,N_dif_1993_97_per_SD,N_dif_1993_97_per_lowCI,N_dif_1993_97_per_highCI,N_dif_2014_18,N_dif_2014_18_SD,N_dif_2014_18_lowCI,N_dif_2014_18_highCI,N_dif_2014_18_per,N_dif_2014_18_per_SD,N_dif_2014_18_per_lowCI,N_dif_2014_18_per_highCI,P_dif,P_dif_SD,P_dif_lowCI,P_dif_highCI,P_dif_per,P_dif_per_SD,P_dif_per_lowCI,P_dif_per_highCI,P_dif_1960_64,P_dif_1960_64_SD,P_dif_1960_64_lowCI,P_dif_1960_64_highCI,P_dif_1960_64_per,P_dif_1960_64_per_SD,P_dif_1960_64_per_lowCI,P_dif_1960_64_per_highCI,P_dif_1993_97,P_dif_1993_97_SD,P_dif_1993_97_lowCI,P_dif_1993_97_highCI,P_dif_1993_97_per,P_dif_1993_97_per_SD,P_dif_1993_97_per_lowCI,P_dif_1993_97_per_highCI,P_dif_2014_18,P_dif_2014_18_SD,P_dif_2014_18_lowCI,P_dif_2014_18_highCI,P_dif_2014_18_per,P_dif_2014_18_per_SD,P_dif_2014_18_per_lowCI,P_dif_2014_18_per_highCI
Pelagic,229248692.1,1057811.891,227109935,228576736.2,229315315.5,229931148,231242124.6,10151271.19,349567.5211,9609182.512,9879144.201,10133546.88,10401636.27,10822738.65,24945781.02,430479.4327,24110832.71,24696043.9,24973508.99,25249238.43,25610066.11,18463221.49,210392.9942,18082916.83,18308247.26,18462955.28,18627216.19,18834623.24,57757109.02,186337.3784,57454929.89,57630398.62,57763329.43,57865152.8,58142661.13,2575172.305,65388.71113,2448748.219,2530022.005,2582657.749,2609347.261,2684265.344,6330820.265,71414.87487,6192725.911,6286644.514,6329122.241,6377706.366,6475913.894,4605436.093,40929.81426,4526789.125,4575446.726,4608047.804,4635270.682,4689510.417,11904173.71,153114.5904,11631461.02,11793764.72,11891763.81,12010020.03,12208962.09,562849.4532,50683.37778,480747.7786,527303.1732,556576.6689,598591.7694,666913.5466,1330618.518,68471.64716,1210499.583,1290113.089,1325452.051,1369223.809,1481830.375,923187.4821,30561.33555,873949.1517,901579.983,921300.5905,943131.3577,995855.0531,242803475.9,54387978.59,11654566.84,11077566.21,2481374.832,531723.1782,26631049.08,5965354.994,1278290.356,18894893.46,4232456.135,906954.886,13554783.74,1057811.891,11561351.3,15693540.87,5.912698394,0.462231354,4.999673533,6.910107596,926295.0256,349567.5211,254827.5638,1468383.7,9.12491656,3.457890338,2.354557123,15.28104704,1685268.064,430479.4327,1020982.969,2520216.369,6.755723797,1.72959373,3.986647145,10.45263098,431671.9672,210392.9942,60270.22214,811976.6276,2.338010013,1.139836241,0.319996962,4.490296754,-3369130.428,186337.3784,-3754682.539,-3066951.303,-5.833274008,0.323170841,-6.457706728,-5.338012436,-93797.47349,65388.71113,-202890.5124,32626.61303,-3.642376601,2.54088132,-7.558511785,1.332379245,-365465.2711,71414.87487,-510558.9002,-227370.9165,-5.772794926,1.129928959,-7.883966782,-3.671580493,-372979.9585,40929.81426,-457054.2825,-294332.9896,-8.098689265,0.891638074,-9.746311274,-6.502025642,-249606.8659,153114.5904,-554395.248,23105.82488,-2.096801273,1.286508828,-4.54088762,0.198649377,-31126.27497,50683.37778,-135190.3684,50975.39957,-5.530124404,9.018542877,-20.27104848,10.60335624,-52328.16171,68471.64716,-203540.0191,67790.77287,-3.932619381,5.149828684,-13.73571648,5.600230997,-16232.59604,30561.33555,-88900.1671,33005.7344,-1.75832064,3.310926555,-8.927018728,3.776619536
Demersal,79996584.95,166190.4242,79700203.4,79869763.48,79993804.49,80117657.78,80306233.57,3162616.554,35158.06892,3095314.627,3139786.459,3163081.567,3186277.853,3231949.001,7694809.289,43589.66237,7614305.639,7660691.969,7698747.027,7727534.995,7768664.998,8474557.246,66566.64819,8340868.98,8438768.945,8467330.309,8510137.584,8607590.78,20703252.69,26318.98339,20652121.85,20685315.97,20702584.78,20720142.54,20757874.25,800545.9763,7370.201961,786369.6061,794943.519,801187.0905,805823.9204,814265.3805,2019371.66,9190.517316,2003225.015,2013648.519,2018930.959,2024602.568,2036194.289,2193050.926,11205.55139,2171563.49,2184368.357,2192549.993,2201763.63,2213177.681,5073155.25,17978.57489,5041664.325,5062036.2,5071065.873,5086360.448,5102488.607,187136.2951,5284.999775,178703.0791,182945.3677,186587.0402,190476.4389,197936.2136,500452.4435,5148.024319,491374.4618,496434.6459,500719.0563,504056.3125,508958.1692,540674.1218,6778.241082,529122.5344,535551.1199,541188.349,545059.0388,555514.4464,93897594.7,21033061.21,4507084.546,3706118.8,830170.6111,177893.7024,9067346.612,2031085.641,435232.6374,9897696.533,2217084.023,475089.4336,13901009.75,166190.4242,13591361.14,14197391.3,17.37700398,0.210860137,16.92441612,17.81349444,543502.2456,35158.06892,474169.7987,610804.1723,17.1852084,1.127972829,14.67132676,19.73318534,1372537.323,43589.66237,1298681.614,1453040.973,17.83718441,0.575422556,16.7169213,19.08303976,1423139.287,66566.64819,1290105.754,1556827.554,16.79308129,0.79648689,14.98800055,18.66505226,329808.5241,26318.98339,275186.9645,380939.3661,1.593027574,0.127141001,1.32569916,1.84455316,29624.63482,7370.201961,15905.23059,43801.00498,3.700553834,0.921277087,1.953322709,5.570027712,11713.9808,9190.517316,-5108.648059,27860.62589,0.580080479,0.45512533,-0.250891975,1.390788637,24033.09759,11205.55139,3906.341963,45520.53321,1.095875034,0.510987871,0.176503766,2.0962101,-566070.7044,17978.57489,-595404.0617,-534579.7797,-11.15815851,0.356585763,-11.66889547,-10.60324022,-9242.592715,5284.999775,-20042.51117,-809.3767242,-4.938963182,2.827587128,-10.12574244,-0.452917056,-65219.80618,5148.024319,-73725.53187,-56141.82442,-13.03216859,1.037372619,-14.48557786,-11.42546648,-65584.68817,6778.241082,-80425.0128,-54033.10084,-12.13016964,1.262854383,-14.47757359,-10.21183135
Benthopelagic,59898743.34,155533.477,59632775.69,59800492.9,59903278.36,59993655.57,60191119.93,2323891.51,21916.18099,2281740.097,2308774.354,2325011.39,2339170.738,2362148.98,6174252.409,48910.29935,6071577.398,6144452.97,6180145.106,6205347.638,6261497.651,5289654.923,50008.18262,5211994.203,5256416.453,5285915.105,5320036.813,5401113.968,16692830.96,27214.08547,16636760.02,16676850.63,16693896.51,16710221.36,16744970.21,583372.7034,1886.631108,579244.5483,581960.0624,583359.6995,584705.6687,586461.8933,1747350.154,8571.18605,1732060.72,1741434.594,1747846.114,1753004.623,1763544.972,1501985.088,7195.043924,1487905.366,1497192.684,1501427.319,1506666.743,1515211.347,3320885.481,15514.51612,3289402.492,3312750.568,3319466.273,3328000.083,3357051.684,105011.9759,1213.379926,102914.2565,104121.8223,105006.5553,105803.1803,107245.1604,353934.9875,5115.091249,342289.4256,351245.6757,354550.1319,357072.4884,363193.87,310372.7241,4271.758001,301990.1209,307111.9107,310397.6321,313141.276,318943.8547,79798297.15,17874818.56,3830318.263,2723848.454,610142.0537,130744.7258,8398992.287,1881374.272,403151.6298,7110076.855,1592657.215,341283.689,19899553.81,155533.477,19607177.22,20165521.47,33.22198881,0.273615087,32.57486693,33.81617112,399956.9439,21916.18099,361699.474,442108.3573,17.21065472,0.95694649,15.31230574,19.37592971,2224739.878,48910.29935,2137494.636,2327414.89,36.03253852,0.842021798,34.13711471,38.33295266,1820421.932,50008.18262,1708962.887,1898082.652,34.41475784,0.999814893,31.64093365,36.41758947,1181987.603,27214.08547,1129848.354,1238058.546,7.080809758,0.163436765,6.747389454,7.441704667,26769.35032,1886.631108,23680.16039,30897.50549,4.588721783,0.323740952,4.037800352,5.334103805,134024.1183,8571.18605,117829.3002,149313.552,7.670135146,0.491965598,6.681389025,8.620572609,90672.12779,7195.043924,77445.86885,104751.8491,6.036819442,0.479907729,5.111225508,7.040222549,509432.7826,15514.51612,473266.5795,540915.771,15.3402695,0.472645068,14.09768523,16.44419533,25732.74986,1213.379926,23499.56536,27830.46929,24.50458591,1.189653901,21.91200542,27.04238483,49216.64226,5115.091249,39957.75978,60862.20416,13.90556006,1.459112133,11.00177153,17.7809186,30910.9649,4271.758001,22339.83436,39293.56809,9.95930457,1.383140558,7.004315659,13.0115409
Cephalopods,11506610.06,32836.89151,11443793.3,11483287.01,11512823.29,11522246.42,11568248.85,276292.2348,4302.665213,267796.9025,273773.9189,276367.557,278268.2954,285022.688,1435892.957,13286.19295,1412734.973,1426730.02,1436018.762,1444239.929,1462310.932,1448771.796,13071.93928,1424638.325,1440547.067,1449306.27,1456456.741,1473481.262,3032271.634,9789.474565,3016150.032,3024600.45,3032321.303,3039984.712,3049135.078,73402.91088,1220.339591,71007.50539,72509.7707,73594.44952,74164.90363,75722.34428,376363.5462,3923.557062,368531.0883,373691.3366,375956.0385,379286.6235,383773.1431,377641.4386,3590.264258,370425.3882,375446.5869,377770.9661,380091.044,384018.2223,314827.6155,1970.031696,311541.0254,313284.3659,314764.9494,316005.8407,318522.3859,7365.671865,199.4246829,6964.363873,7252.954546,7365.510063,7487.214625,7786.4587,39848.81733,767.9990977,38294.51727,39305.25351,39863.24093,40369.47003,41246.97374,39721.64428,736.8389294,38100.13582,39287.48483,39626.73277,40241.93941,40829.70006,14670125.67,3286108.151,704166.0323,347661.2578,77876.12174,16687.74037,1826860.18,409216.6804,87689.28865,1844937.196,413265.9318,88556.98539,3163515.618,32836.89151,3101876.821,3226332.377,27.49302882,0.295962949,26.81371105,28.19285786,71369.02295,4302.665213,62638.56976,79864.35525,25.83099123,1.608403136,21.97669603,29.82273301,390967.2227,13286.19295,364549.2486,414125.2075,27.22815936,0.958977421,24.9296672,29.31372235,396165.4,13071.93928,371455.9332,420298.8701,27.34491389,0.935402879,25.20941003,29.5021454,253836.5172,9789.474565,236973.0729,269958.1193,8.371166829,0.323972138,7.771812884,8.950420784,4473.210866,1220.339591,2153.77746,6868.616352,6.094051057,1.665606298,2.844309009,9.673084998,32853.13413,3923.557062,25443.53726,40685.59202,8.7290957,1.04645546,6.629837891,11.03993484,35624.49319,3590.264258,29247.70954,42840.5436,9.433417403,0.954927949,7.616229607,11.56522878,389338.4169,1970.031696,385643.6465,392625.007,123.6671746,0.995188754,121.072698,126.0267429,9322.068509,199.4246829,8901.281673,9723.3765,126.5610073,4.367178047,114.3174582,139.616147,47840.47132,767.9990977,46442.3149,49394.77138,120.0549339,3.011324195,112.5956905,128.9865362,48835.34111,736.8389294,47727.28533,50456.84957,122.9439063,2.939772351,116.8935487,132.4322039
Shrimps,10840114.98,82485.75799,10697589.12,10785174.54,10833864.17,10892128.13,11033652.82,209445.2606,3550.557852,202451.6768,207352.8381,209126.3376,211965.8646,215900.0357,1248788.752,29267.21416,1194273.746,1230647.231,1247217.667,1266184.506,1309844.407,1623864.429,42193.69947,1549383.904,1592890.506,1623611.048,1647209.957,1717538.319,2811176.722,8184.94287,2796226.46,2805817.664,2810442.839,2816250.118,2828153.439,56902.76914,633.2446041,55861.27028,56396.41076,56843.32421,57325.39949,58256.26674,320057.3802,4375.168564,312189.4323,317118.7089,319819.861,323258.6683,328513.61,402452.9143,3442.830866,395154.9089,400289.7831,402663.8182,404951.6791,408241.2948,384521.269,2726.564682,379707.5898,382577.3035,384548.263,386654.2668,389513.4498,7497.761789,172.8930924,7194.239284,7356.20813,7505.390935,7620.783437,7799.337087,41763.05854,1208.061212,39714.49906,40916.65664,41686.723,42525.97895,44052.97495,65082.27014,1046.605792,63494.6343,64259.6507,65055.08784,65919.54685,67107.40049,13999726.88,3135938.822,671986.8904,275755.8789,61769.31688,13236.28219,1590249.064,356215.7904,76331.95508,2141841.961,479772.5993,102808.4141,3159611.904,82485.75799,2966074.061,3302137.768,29.14740212,0.792595067,26.88206806,30.86805571,66310.61833,3550.557852,59855.8432,73304.20207,31.6601188,1.778152657,27.72386906,36.20824644,341460.3122,29267.21416,280404.6568,395975.3178,27.34332062,2.429681293,21.40747827,33.1561603,517977.5323,42193.69947,424303.6417,592458.0573,31.89783107,2.727337017,24.70417323,38.23829949,324762.1001,8184.94287,307785.3831,339712.3619,11.55253234,0.293093647,10.88290963,12.14895742,4866.547741,633.2446041,3513.050135,5908.0466,8.552391764,1.116916237,6.030338592,10.57628402,36158.41014,4375.168564,27702.18032,44026.35803,11.29747738,1.37569108,8.432582235,14.10244982,77319.68499,3442.830866,71531.30449,84617.69037,19.21210712,0.871106489,17.52181991,21.41380215,287465.6214,2726.564682,282473.4407,292279.3006,74.75935522,0.885327645,72.51956019,76.97483759,5738.520399,172.8930924,5436.945101,6042.042904,76.53644595,2.903807678,69.71034898,83.98445848,34568.89654,1208.061212,32278.98013,36617.45602,82.77386223,3.755053112,73.27309941,92.20173209,37726.14399,1046.605792,35701.01364,39313.77984,57.9668532,1.858772362,53.19981609,61.91669623
Misc. Dem. Inverts,9531123.745,42438.07357,9457876.394,9505428.808,9532017.829,9564119.738,9603749.561,410737.3743,8374.778963,395820.1253,404437.8808,410678.0577,416703.7826,428010.3998,1065323.894,15685.20312,1034102.115,1053631.595,1066918.811,1076578.841,1088719.058,792914.1862,11914.72563,773336.6258,783005.5271,792519.7741,801108.5257,817517.0508,1821400.143,11122.69679,1798665.581,1814071.76,1822549.18,1829772.384,1840714.035,70707.84403,1591.078285,67888.78082,69724.80846,70528.17069,72053.33315,73612.97152,214377.9793,4617.035591,206062.1241,211399.1215,214121.0064,217105.3148,222568.0832,154786.0851,2812.057904,149639.0732,152722.9655,154752.3659,157068.965,159832.4195,203673.6287,2001.780015,200393.6177,202401.0703,203524.103,204965.8773,207840.4715,7875.135766,302.3041703,7289.217634,7676.951295,7887.571022,8042.547486,8405.608611,23906.55819,952.2127908,22107.1711,23294.67919,23881.02791,24509.48299,25589.84092,17744.55169,620.1888173,16672.14208,17295.76698,17684.68924,18204.64263,18845.41403,11953670.16,2677622.117,573776.1678,513124.6086,114939.9123,24629.98121,1336435.317,299361.5111,64148.89523,996612.0857,223241.1072,47837.38011,2422546.418,42438.07357,2349920.603,2495793.769,25.41721714,0.459415345,24.46878261,26.38852175,102387.2343,8374.778963,85114.20881,117304.4833,24.92766442,2.101356691,19.88601418,29.63580571,271111.4232,15685.20312,247716.2598,302333.2019,25.44873204,1.519270542,22.75300116,29.2363005,203697.8995,11914.72563,179095.0349,223275.4599,25.68977867,1.551442705,21.9071926,28.87170379,856221.9732,11122.69679,836908.0814,878956.5352,47.00899889,0.674776307,45.46649101,48.86714597,44232.0683,1591.078285,41326.94082,47051.13151,62.55609813,2.654229601,56.14084035,69.30619602,84983.53181,4617.035591,76793.42786,93299.38701,39.64191289,2.31674123,34.50334242,45.27731015,68455.02207,2812.057904,63408.68765,73602.03402,44.22556589,1.986476777,39.67198134,49.1863739,370102.5392,2001.780015,365935.6963,373382.5502,181.7135294,2.038523751,176.0656592,186.3245719,16754.84545,302.3041703,16224.3726,17340.76358,212.7562742,9.02427016,193.0184161,237.8960878,40242.33704,952.2127908,38559.05431,42041.72413,168.3317888,7.798625,150.681102,190.1723379,30092.82842,620.1888173,28991.96608,31165.23803,169.5891164,6.881029311,153.8409612,186.930017
Reef Fish,9016760.169,23383.84873,8968016.198,9004276.452,9017277.637,9030916.339,9054408.72,310640.443,5088.204734,301896.1668,307089.7798,309981.8115,314067.5947,321937.7803,981441.3629,9685.863493,963014.9866,975749.565,981409.5629,987067.723,1001384.805,930710.0223,6551.055916,916233.5748,926586.325,930934.1502,935031.4632,941397.5809,2385088.254,4196.023115,2378044.983,2382275.643,2384717.114,2387792.275,2393085.377,78500.01633,336.5010361,77822.30126,78308.73806,78507.72239,78717.34745,79169.20058,261149.1037,1499.248241,258364.3359,259981.1698,261167.1091,262139.9293,263828.9158,250500.5667,1808.797157,247412.5411,249111.7256,250526.6463,251664.6416,253972.3999,592340.5982,2789.266462,587741.8443,590288.6645,591929.6852,594181.2481,597934.7053,19647.85336,440.8989487,18696.97032,19325.7576,19707.43924,19969.43488,20340.91386,63563.60346,900.2465394,62115.3702,62923.06055,63544.66892,64175.48438,65205.33151,63830.1755,786.0666921,62284.90522,63349.06137,63763.9309,64419.72448,65156.88444,10578810.65,2369653.586,507782.9113,356570.2676,79871.73995,17115.37285,1152982.243,258268.0225,55343.14767,1104137.422,247326.7824,52998.59624,1562050.483,23383.84873,1524401.932,1610794.454,17.32385528,0.263200392,16.83601855,17.96154711,45929.82459,5088.204734,34632.48736,54674.10084,14.78552636,1.655779613,10.75750952,18.11023354,171540.8802,9685.863493,151597.4379,189967.2565,17.4784645,1.001863262,15.13877953,19.72630324,173427.3993,6551.055916,162739.8407,187903.8468,18.63388113,0.715993021,17.28704683,20.50829089,-15434.66827,4196.023115,-23431.79095,-8391.396626,-0.647131956,0.175931057,-0.979145632,-0.35286955,1371.723622,336.5010361,702.5393734,2049.438693,1.747418263,0.428729092,0.887389753,2.633485081,-2881.081238,1499.248241,-5560.893338,-96.31348305,-1.103232291,0.574131581,-2.107764921,-0.037278165,-3173.784315,1808.797157,-6645.617421,-85.75870297,-1.2669769,0.722131032,-2.616669144,-0.03466223,-84557.68691,2789.266462,-90151.794,-79958.93296,-14.27518005,0.475662665,-15.07719709,-13.60443088,-2532.480511,440.8989487,-3225.54101,-1581.59747,-12.88934961,2.262569345,-15.8574046,-8.459110987,-8220.455795,900.2465394,-9862.183844,-6772.222532,-12.93264596,1.428087354,-15.12481206,-10.90265181,-10831.57927,786.0666921,-12158.2882,-9286.308984,-16.96937096,1.249102219,-18.66002082,-14.90940534
Crabs/Lobsters,6531081.12,28467.90807,6479934.344,6512842.481,6530736.991,6545620.163,6590915.207,179202.5669,5077.701027,170159.0537,175896.6058,178806.5767,181925.5804,189897.2356,630830.1424,7395.070728,619043.0252,625247.5118,630321.1086,635495.951,646179.3094,1200534.483,13213.0859,1174818.065,1192145.457,1198551.927,1208629.992,1228737.126,1306753.731,6526.772584,1294671.522,1302121.006,1306738.69,1311043.607,1319263.842,45584.39898,965.5914058,43781.7433,44943.62809,45601.20611,46175.96143,47556.59628,117479.4458,1448.37046,114573.4998,116667.6644,117649.5811,118338.3128,119881.5187,225699.2618,2883.72797,220720.9661,223700.8799,225548.2191,227593.0798,231920.1711,160454.9503,2373.824234,156387.4079,158823.2214,160305.3028,162238.2263,164988.1339,5288.404905,298.5778452,4802.567948,5067.983571,5287.479715,5485.18194,5857.035395,14674.81709,595.8031899,13605.63204,14336.29723,14613.5448,15115.09367,15815.34579,28182.83377,1309.307142,26056.62631,27367.6265,28083.0676,29066.53394,30856.58553,7098992.879,1590174.405,340751.6582,222754.5185,49897.01215,10692.21689,662758.521,148457.9087,31812.40901,1258738.623,281957.4516,60419.45391,567911.7581,28467.90807,508077.6711,619058.5341,8.695524487,0.437528349,7.70875751,9.553469235,43551.95165,5077.701027,32857.28295,52595.46485,24.30319633,2.915977124,17.30266523,30.90958941,31928.37858,7395.070728,16579.21165,43715.49577,5.061327358,1.17377661,2.565729266,7.061786336,58204.14048,13213.0859,30001.49744,83920.55787,4.848185647,1.101892998,2.441653045,7.14328119,283420.6736,6526.772584,270910.5628,295502.8825,21.68891252,0.511077255,20.53497975,22.82454487,4312.613174,965.5914058,2340.415874,6115.268852,9.460721805,2.127708331,4.921327548,13.96762301,30978.46287,1448.37046,28576.39,33884.40895,26.369262,1.275014212,23.83719384,29.5743859,56258.18975,2883.72797,50037.28048,61236.48545,24.92617357,1.31678017,21.57521713,27.74384624,180296.7079,2373.824234,175763.5242,184364.2503,112.3659367,2.225360248,106.5310093,117.889447,5403.811985,298.5778452,4835.181495,5889.648942,102.1822663,8.072094528,82.55339381,122.635411,17137.59192,595.8031899,15997.06322,18206.77697,116.7823205,6.24218313,101.1489944,133.8179432,32236.62014,1309.307142,29562.86838,34362.8276,114.3838849,7.058449887,95.80732243,131.8775009
Flatfish,5813125.759,27284.30767,5763393.55,5795919.578,5809799.515,5831300.776,5874429.354,512509.3464,9949.359376,492468.9907,507221.7391,513034.2772,517470.2474,530580.1847,452751.7318,5583.073439,443113.6375,449406.8131,452501.3647,456288.4961,464138.2417,448226.3302,6050.440534,437525.825,444390.4537,447844.4573,452099.1802,461294.2335,1618059.73,5854.948167,1607667.149,1614398.946,1617450.374,1622141.01,1628614.695,143024.0715,2736.046809,137927.3083,141164.669,142952.8131,144900.2222,147802.2835,126338.4984,1205.063014,123759.4652,125767.3635,126456.3663,127138.8092,128493.0727,124758.1611,1523.30598,121838.9883,123719.6645,124805.9154,125826.2137,127550.9212,299796.0892,2242.181172,295233.7789,297910.9553,299827.966,301287.0352,304097.6261,26387.23475,962.729734,24844.3622,25716.42853,26357.18216,26914.36507,28461.30426,23562.20206,490.9853264,22676.74668,23263.32252,23556.34344,23845.16665,24532.56515,23266.99523,706.3542693,22057.46857,22765.95429,23331.95139,23803.42306,24604.27809,7359772.854,1648589.119,353269.097,655081.8568,146738.3359,31443.92913,569923.4384,127662.8502,27356.32504,563569.4201,126239.5501,27051.33216,1546647.095,27284.30767,1485343.5,1596379.304,26.60611793,0.485685434,25.2848985,27.69859962,142572.5104,9949.359376,124501.6722,162612.8661,27.81851909,2.015019224,23.46519447,33.01991986,117171.7066,5583.073439,105785.1967,126809.8009,25.87990247,1.273769179,22.79174331,28.61789621,115343.0899,6050.440534,102275.1866,126043.5951,25.73322497,1.393840314,22.17135597,28.80826409,30529.38893,5854.948167,19974.4239,40921.97048,1.886789984,0.361914343,1.226467129,2.545425557,3714.264402,2736.046809,-1063.947547,8811.027632,2.596950543,1.913642396,-0.719845135,6.388167608,1324.351809,1205.063014,-830.2224799,3903.385015,1.048256727,0.953889144,-0.646122365,3.154009279,1481.38902,1523.30598,-1311.371131,4400.561773,1.187408509,1.221093155,-1.028115766,3.611784563,53473.00776,2242.181172,49171.4709,58035.31812,17.83645941,0.759705781,16.16963326,19.65741127,5056.694377,962.729734,2982.624864,6599.566924,19.1634115,3.714856174,10.479579,26.56363995,3794.122985,490.9853264,2823.759896,4679.578361,16.10258233,2.110626356,11.51025129,20.63602168,3784.33693,706.3542693,2447.054072,4993.863596,16.26482875,3.075757685,9.945644666,22.64023897
