time_period,C_extracted,C_extracted_SD,C_extracted_lowCI,C_extracted_lowIQR,C_extracted_median,C_extracted_highIQR,C_extracted_highCI,N_extracted,N_extracted_SD,N_extracted_lowCI,N_extracted_lowIQR,N_extracted_median,N_extracted_highIQR,N_extracted_highCI,P_extracted,P_extracted_SD,P_extracted_lowCI,P_extracted_lowIQR,P_extracted_median,P_extracted_highIQR,P_extracted_highCI
1960_64,17791914.5305491,343160.208700804,17214012.8354833,17561605.8081419,17778076.6534736,18015811.7603426,18472313.3123197,4491657.21962685,65500.5788066201,4364691.63199118,4445091.23994016,4497117.82401158,4530389.06682664,4606183.03338602,946776.722439799,51735.840019443,861445.736054599,905918.424042078,940390.805061594,986180.335971717,1047454.39549226
1993_97,45456634.8241563,443126.478932578,44636502.1586858,45175670.1015149,45479572.0473173,45753366.0420911,46182773.3699915,11719547.12438,73573.9736946594,11565994.1497959,11672837.8656044,11715338.1066431,11766486.4397651,11856069.1770898,2447359.41183604,69822.0189654495,2329679.10191894,2403793.18747189,2442066.68889152,2483897.3392344,2600627.82686777
2014_18,39448759.1779066,241628.886467434,39002480.9501676,39294307.9468104,39415823.776641,39653468.4749538,39924404.6603532,10025119.4577435,43797.4357626071,9942481.89980656,9997005.25386859,10029831.2248844,10052859.9879274,10124805.4284834,2060190.5500425,31512.7337903964,2012805.66979255,2036276.73539949,2056456.49149718,2077029.79076505,2129176.08210784
